tstamp,sitename,dns time,dns time two,pret time,pret time two,ttfb time,ttfb time two,RTTthree,RTT,RTTtwo,pingRTT
2018-03-14 20:47:27.522760,www.baidu.com,537.224,0.042,537.313,0.097,825.549,275.602,280.527,288.236,275.505,310.571
2018-03-14 20:47:34.585724,www.google.co.in,275.267,0.043,275.345,0.095,338.708,57.11,60.5,63.363,57.015,43.430
2018-03-14 20:47:37.238784,www.taobao.com,558.07,0.04,1014.963,0.103,1079.332,55.926,61.451,64.369,55.823,363.879
2018-03-14 20:47:43.601112,www.google.co.jp,275.746,0.041,275.821,0.062,349.691,59.912,59.132,73.87,59.85,57.988
2018-03-14 20:47:46.364576,www.google.de,269.973,0.054,270.066,0.121,337.843,60.477,59.685,67.777,60.356,40.947
2018-03-14 20:47:49.029962,www.google.it,275.194,0.021,275.273,0.049,341.004,59.199,54.178,65.731,59.15,42.715
2018-03-14 20:47:51.692126,www.google.es,274.328,0.024,274.404,0.056,352.261,63.493,73.745,77.857,63.437,44.971
2018-03-14 20:47:54.465056,www.samsung.com,0.037,78.978,0.093,247.076,35.768,279.073,28.826,35.675,31.997,None
2018-03-14 20:48:01.016819,www.google.co.th,280.256,0.044,280.333,0.141,351.604,65.356,69.242,71.271,65.215,49.647
2018-03-14 20:48:03.739455,www.google.com.br,268.121,0.054,268.205,0.114,341.004,70.619,60.387,72.799,70.505,51.956
2018-03-14 20:48:06.420823,www.360.cn,217.309,102.494,617.176,522.569,801.105,703.975,194.239,183.929,181.406,None
2018-03-14 20:50:43.147720,www.baidu.com,372.867,0.042,372.964,0.101,689.288,284.275,325.727,316.324,284.174,640.431
2018-03-14 20:50:50.790235,www.google.co.in,75.341,0.043,75.415,0.099,142.075,68.536,58.688,66.66,68.437,34.526
2018-03-14 20:50:53.162912,www.taobao.com,556.444,0.04,1150.402,0.103,1195.065,63.753,53.084,44.663,63.65,332.443
2018-03-14 20:51:00.314756,www.google.co.jp,277.998,0.046,278.071,0.115,343.159,55.321,60.684,65.088,55.206,44.088
2018-03-14 20:51:02.889363,www.google.de,74.687,0.043,74.794,0.093,144.643,59.825,66.174,69.849,59.732,34.289
2018-03-14 20:51:05.246716,www.google.it,81.11,0.039,81.205,0.095,142.125,59.32,63.825,60.92,59.225,38.560
2018-03-14 20:51:07.606965,www.google.es,89.806,0.056,89.895,0.133,284.616,59.629,67.069,194.721,59.496,37.171
2018-03-14 20:51:10.112693,www.samsung.com,0.037,70.55,0.088,295.972,39.639,340.073,49.77,39.551,44.101,None
2018-03-14 20:51:16.664577,www.google.co.th,80.023,0.063,80.105,0.182,147.08,62.685,63.525,66.975,62.503,42.620
2018-03-14 20:51:19.051525,www.google.com.br,147.23,0.047,147.304,0.118,215.268,56.043,66.47,67.964,55.925,34.008
2018-03-14 20:51:21.482195,www.360.cn,216.688,94.264,638.729,468.453,831.867,654.682,181.953,193.138,186.229,None
2018-03-14 20:52:35.352081,www.buzzfeed.com,76.706,0.029,250.945,0.067,273.535,16.574,13.678,22.59,16.507,50.668
2018-03-14 20:52:38.487774,www.sogou.com,807.263,0.066,1651.613,0.259,2034.786,993.282,1032.076,383.173,993.023,415.309
2018-03-14 20:52:48.427745,www.jd.com,1530.803,0.04,1694.984,0.101,1714.571,21.917,21.352,19.587,21.816,789.440
2018-03-14 20:52:53.876829,www.wikia.com,0.039,0.026,0.1,0.064,16.274,15.236,11.521,16.174,15.172,39.806
2018-03-14 20:52:56.647662,www.msn.com,539.861,0.02,539.947,0.05,618.279,71.436,66.65,78.332,71.386,None
