tstamp,sitename,dns time,dns time two,pret time,pret time two,ttfb time,ttfb time two,RTT,RTTtwo,pingRTT
2018-02-20 12:40:34.496782,www.baidu.com,503.808,0.043,503.887,0.106,818.323,313.226,314.436,313.12,317.897
2018-02-20 12:40:41.894408,www.google.co.in,54.152,0.039,54.234,0.083,108.49,49.83,54.256,49.747,8.759
2018-02-20 12:40:44.112916,www.taobao.com,34.695,0.048,401.45,0.103,407.735,6.358,6.285,6.255,331.396
2018-02-20 12:40:49.623633,www.google.co.jp,54.406,0.023,54.482,0.059,107.074,51.655,52.592,51.596,8.105
2018-02-20 12:40:51.842303,www.google.de,54.303,0.05,54.384,0.115,108.442,53.876,54.058,53.761,8.186
2018-02-20 12:40:54.045161,www.google.it,54.745,0.046,54.823,0.101,112.218,51.274,57.395,51.173,8.406
2018-02-20 12:40:56.271015,www.google.es,54.523,0.058,54.591,0.114,111.423,54.635,56.832,54.521,8.226
2018-02-20 12:40:58.494135,www.samsung.com,0.037,0.021,0.088,0.056,49.252,46.43,49.164,46.374,None
2018-02-20 12:41:04.774749,www.google.co.th,54.921,0.063,54.992,0.124,106.882,55.147,51.89,55.023,8.387
2018-02-20 12:41:06.998889,www.google.com.br,54.549,0.027,54.62,0.063,111.316,54.866,56.696,54.803,8.196
2018-02-20 12:42:06.723111,www.baidu.com,296.253,0.042,296.345,0.098,611.156,312.506,314.811,312.408,320.712
2018-02-20 12:42:12.347077,www.google.co.in,30.289,0.044,30.358,0.103,86.414,56.773,56.056,56.67,8.440
2018-02-20 12:42:14.507677,www.taobao.com,34.386,0.027,406.693,0.069,413.362,6.263,6.669,6.194,288.984
2018-02-20 12:42:18.927258,www.google.co.jp,29.875,0.042,29.941,0.093,90.677,56.635,60.736,56.542,8.584
2018-02-20 12:42:21.118109,www.google.de,29.366,0.023,29.426,0.056,83.188,50.818,53.762,50.762,9.700
2018-02-20 12:42:23.313451,www.google.it,29.415,0.02,29.48,0.042,84.466,53.529,54.986,53.487,8.306
2018-02-20 12:42:25.494119,www.google.es,29.38,0.049,29.444,0.109,86.276,54.159,56.832,54.05,8.334
2018-02-20 12:42:27.676328,www.samsung.com,8.964,0.051,113.005,0.104,153.294,275.766,40.289,275.662,None
2018-02-20 12:42:33.653429,www.google.co.th,38.176,0.029,38.248,0.07,93.982,54.869,55.734,54.799,8.508
2018-02-20 12:42:35.845153,www.google.com.br,29.967,0.041,30.032,0.092,82.99,53.946,52.958,53.854,8.142
2018-02-20 12:42:38.041620,www.360.cn,143.29,81.937,496.092,479.681,741.617,644.266,245.525,164.585,85.624
